Date;Country;Region;Export;Import
04/2024;Bun-ga-ri;EU;16,360.96;6,569.09
05/2024;Bun-ga-ri;EU;30,458.33;5,473.21
06/2024;Bun-ga-ri;EU;21,138.31;3,659.46
07/2024;Bun-ga-ri;EU;11,409.29;4,874.51
08/2024;Bun-ga-ri;EU;10,221.90;21,096.81
09/2024;Bun-ga-ri;EU;6,161.23;3,649.92
10/2024;Bun-ga-ri;EU;26,361.97;3,241.92
11/2024;Bun-ga-ri;EU;11,566.43;7,962.49
12/2024;Bun-ga-ri;EU;8,079.99;6,049.43
01/2025;Bun-ga-ri;EU;4,241.19;3,081.06
02/2025;Bun-ga-ri;EU;6,972.54;2,789.48
03/2025;Bun-ga-ri;EU;25,623.46;2,924.26
04/2025;Bun-ga-ri;EU;27,662.16;4,160.21
